FIPS,County,lungDeathPerYear,deathRate,pctSmokers,pctObese,foodEnvIdx,pctPhysInact,Population,numSr,percSr,healthCosts
19001,Adair,5,42.3,19,32,8.6,31,7472,1648,22.1,8461
19003,,,,,33,8.5,27,3894,850,21.8,8505
19005,Allamakee,8,35.3,17,30,7.9,22,14169,2919,20.6,6642
19007,Appanoose,11,56.3,28,30,7.5,31,12692,2689,21.2,8378
19009,,,,24,33,8.5,25,5873,1418,24.1,8443
19011,Benton,17,50.2,22,30,8.5,25,25699,4255,16.6,8680
19013,Black Hawk,84,56.3,21,29,7,22,132546,19299,14.6,8978
19015,Boone,17,47.4,22,30,8.3,27,26364,4403,16.7,8821
19017,Bremer,10,31.7,14,30,8.8,23,24624,4475,18.2,9423
19019,Buchanan,15,56.2,18,31,8.3,28,20976,3358,16,8332
19021,Buena Vista,7,28.4,12,30,8.3,24,20567,2993,14.6,7787
19023,Butler,8,35.4,10,28,7.4,27,15021,3106,20.7,8972
19025,Calhoun,7,40.4,22,31,7,24,9926,2239,22.6,8992
19027,Carroll,14,44.4,21,30,8.7,22,20598,3900,18.9,7338
19029,Cass,12,57.1,15,32,7.6,28,13598,2906,21.4,8157
19031,Cedar,10,40.6,19,32,8.6,30,18393,3312,18,7291
19033,Cerro Gordo,27,41.7,18,30,7.8,28,43575,8335,19.1,7355
19035,Cherokee,8,36.3,10,33,8.6,27,11945,2626,22,8307
19037,Chickasaw,8,44,15,30,8.1,27,12321,2359,19.1,8469
19039,Clarke,7,58.4,33,29,8.2,27,9325,1599,17.1,9145
19041,Clay,10,41.5,20,29,8.4,24,16491,3200,19.4,6763
19043,Clayton,10,37.1,17,31,7.7,26,17773,3641,20.5,7642
19045,Clinton,33,50.5,28,30,7.6,27,48420,8625,17.8,9176
19047,Crawford,8,33.6,13,30,8.1,30,17434,2887,16.6,7557
19049,Dallas,22,36.7,12,31,9,28,74641,8102,10.9,7495
19051,Davis,4,36.9,23,31,7.8,28,8791,1526,17.4,8135
19053,Decatur,5,40.5,19,30,7.6,26,8136,1528,18.8,8704
19055,Delaware,6,25.7,20,37,8.6,32,17534,3095,17.7,7379
19057,Des Moines,33,58.6,21,32,7.4,27,40480,7450,18.4,8419
19059,Dickinson,12,41.3,20,31,8.2,24,16955,3961,23.4,6973
19061,Dubuque,56,46.7,10,29,8,21,95697,15186,15.9,7853
19063,Emmet,7,45.3,21,32,8.1,29,9996,1909,19.1,9044
19065,Fayette,13,40.2,21,40,8.3,28,20502,4106,20,8961
19067,Floyd,13,55.1,16,33,7.8,25,16092,3317,20.6,8681
19069,Franklin,7,45.3,19,31,8.3,26,10548,2075,19.7,8961
19071,Fremont,7,63,17,33,7.3,26,7080,1479,20.9,9269
19073,Greene,8,56.4,23,29,7.7,28,9139,1931,21.1,7622
19075,Grundy,6,33.5,11,31,8.8,27,12314,2414,19.6,8289
19077,Guthrie,9,51.9,9,35,8.4,29,10687,2267,21.2,8148
19079,Hamilton,9,41,23,28,7.6,25,15312,2917,19.1,9380
19081,Hancock,8,47.4,20,31,8.3,27,11094,2201,19.8,9196
19083,Hardin,13,46.9,20,34,8.2,31,17441,3701,21.2,9023
19085,Harrison,10,48.3,22,30,8.2,29,14431,2699,18.7,9789
19087,Henry,13,51.5,17,34,6.8,27,20222,3494,17.3,7001
19089,Howard,5,35.7,11,31,7.5,25,9526,1869,19.6,7668
19091,Humboldt,5,31,17,35,8,28,9688,1983,20.5,8491
19093,Ida,5,41.7,,30,8.5,29,7141,1513,21.2,9906
19095,Iowa,9,40.6,12,31,8.5,26,16330,2916,17.9,7850
19097,Jackson,15,53.8,11,31,7.9,24,19587,3802,19.4,8330
19099,Jasper,27,53.8,19,34,7.7,29,36641,6536,17.8,7314
